id	page No.	title	romanlized	google translated	duration
25	31	ရူပက္ခန္ဓာ၌ ဥဒယဉာဏ် (၅) ပါး	rūpakkhandhā၌ udayañāṇya (5) pā”	There are five senses in the physical body	0
26	31	ရူပက္ခန္ဓာ၌ ၀ယဉာဏ် (၅) ပါး	rūpakkhandhā၌ 0yañāṇya (5) pā”	There are five senses in the physical body	1
27	32	ပြည်ဆရာတော်ဘုရားကြီး၏ မှတ်ချက်	paြññyacharātoyabhurā”kaြီ”၏ maှtyakhaျkya	Remarks by Pyi Sayadaw Pagoda	1
28	33	သတိပြု၍ မှတ်သားရန်	satipaြု၍ maှtyasā”ranya	Note carefully	1
30	34	ဘင်္ဂါနုပဿနာဉာဏ်ပိုင်း၌ အနွယဉာဏ်ဖြင့် ရှုပုံ	bhaṅgānupassanāñāṇyapiုငya”၌ anhayañāṇyaphaြင’ya raှုpuṃ	A view of subconscious mind in the Bengali mind	3
31	37	နိရောဓေ အဓိမုတ္တတာ = ခဏနိရောဓ၌ ညွတ်ကိုင်းရှိုင်းမှု	nirodhe adhimuttatā = khaṇanirodha၌ ññhatyakiုငya”raှိုငya”maှု	Nirodhi Adhimotta = inclination at the moment of Nirodha	0
32	37	ဘင်္ဂါနုပဿနာဉာဏ်၏ အရှုခံအာရုံတရားများ	bhaṅgānupassanāñāṇya၏ araှုkhaṃāruṃtarā”maျာ”	The senses of Benganupassana consciousness	1
33	38	ဉာတ တရား နှင့် ဉာဏ တရား	ñāta tarā” naှင’ya ñāṇa tarā”	Wisdom and Wisdom	1
34	39	ဣတိ ရူပဿ အတ္ထင်္ဂမော ။ ပ ။ ဣတိ ဝိညာဏဿ အတ္ထင်္ဂမော	iti rūpassa atthaṅgamo ． pa ． iti viññāṇassa atthaṅgamo	Iti Rupatsa Attingamaw. ပ. Iti spiritual consciousness	1
35	40	အနုပ္ပါဒနိရောဓ	anuppādanirodha	Anuppada Nirodha	2
36	42	အာသဝက္ခယသုတ္တန် ကောက်နုတ်ချက်	āsavakkhayasuttanya kokyanutyakhaျkya	Excerpt from Asavakkha Sutta	1
37	43	အဋ္ဌကထာအဖွင့်များ - ပထမအဖွင့်	aṭṭhakathāaphhaင’yamaျာ” - pathamaaphhaင’ya	The Eightfold Path: The First Opening	1
38	44	အဋ္ဌကထာ - ဒုတိယအဖွင့်	aṭṭhakathā - dutiyaaphhaင’ya	Eighth Katha - Second Opening	2
39	46	အဋ္ဌကထာ - တတိယအဖွင့်	aṭṭhakathā - tatiyaaphhaင’ya	Eighth Katha - Third Opening	0
40	46	အဋ္ဌကထာ စတုတ္ထအဖွင့် - ကေစိဝါဒ	aṭṭhakathā catutthaaphhaင’ya - kecivāda	Eighth Kata Fourth Opening - Case Studies	0
41	46	အဋ္ဌကထာ - ပဉ္စမအဖွင့်	aṭṭhakathā - pañcamaaphhaင’ya	Eighth Katha - Fifth Opening	1
42	47	ခဒိရပတ္တသုတ္တန် နှင့် ကူဋာဂါရသုတ္တန် တရားတော် ကောက်နုတ်ချက်	khadirapattasuttanya naှင’ya kūṭāgārasuttanya tarā”toya kokyanutyakhaျkya	Excerpts from the Khadira Patta Sutta and the Kutagara Sutta	2
43	49	ဝဋ္ဋသစ္စာ - ဝိဝဋ္ဋသစ္စာ	vaṭṭasaccā - vivaṭṭasaccā	Vattha Thitsar - Vivattha Thitsar	1
44	50	ဒုက္ခအရိယသစ္စာတရား	dukkhaariyasaccātarā”	The Noble Truth of Suffering	0
45	50	ဥပါဒါနက္ခန္ဓာဟူသည်	upādānakkhandhāhūsaññya	It is the sub-element	2
46	52	အဘိညာဏ်နှင့် ဝိပဿနာ	abhiññāṇyanaှင’ya vipassanā	Abhidhamma and Vipassana	2
47	54	အနုသယသုတ္တန် ကောက်နုတ်ချက်	anusayasuttanya kokyanutyakhaျkya	Excerpt from Anusaya Sutta	2
48	56	မဟာရာဟုလောဝါဒသုတ္တန် ကောက်နုတ်ချက်	mahārāhulovādasuttanya kokyanutyakhaျkya	Excerpts from the Maharajah Sutta	0
49	56	အနတ္တလက္ခဏသုတ္တန် ကောက်နုတ်ချက်	anattalakkhaṇasuttanya kokyanutyakhaျkya	Excerpt from Vanity Sutta	2
50	58	သမုဒယအရိယသစ္စာတရား	samudayaariyasaccātarā”	The Noble Truth of Samudaya	1
51	59	တိတ္ထာယတနသုတ္တန် ကောက်နုတ်ချက်	titthāyatanasuttanya kokyanutyakhaျkya	Excerpt from Tittayatana Sutta	0
52	59	ပဋိစ္စသမုပ္ပါဒ်အင်္ဂါရပ်တို့၌ သစ္စာဖွဲ့ပုံ	paṭiccasamuppādyaaṅgārapyatiု’၌ saccāphhaဲ’puṃ	How to be faithful in the features of the Paktisthamupadha	3
53	62	နာနာက္ခဏိကကမ္မ၏ စွမ်းအင်	nānākkhaṇikakamma၏ chamya”aငya	The energy of kamma in the future	1
54	63	ဒုက္ခသစ္စာနှင့် သမုဒယသစ္စာ	dukkhasaccānaှင’ya samudayasaccā	Loyalty to suffering and community loyalty	11
55	74	မဟာနိဒါနသုတ္တန် ကောက်နုတ်ချက်	mahānidānasuttanya kokyanutyakhaျkya	Excerpt from Mahanidana Sutta	2
56	76	လောကီပရိညာ သုံးပါး	lokīpariññā suṃ”pā”	The three worldly wisdoms	1
57	77	ပဋိသမ္ဘိဒါမဂ္ဂပါဠိတော်၏ ညွှန်ကြားချက်	paṭisambhidāmaggapāḷitoya၏ ññhaှnyakaြာ”khaျkya	Instruction of the Pratibhida Magga Pali	9
58	86	လောကုတ္တရာ ပရိညာ သုံးပါး	lokuttarā pariññā suṃ”pā”	The Three Noble Truths	2
59	88	ကစ္စာနဂေါတ္တသုတ္တန် ကောက်နုတ်ချက်	kaccānagottasuttanya kokyanutyakhaျkya	Excerpt from Kasana Gotta Sutta	1
60	89	လောကသမုဒယ - လောကနိရောဓ	lokasamudaya - lokanirodha	World Peace - The End of the World	3
61	92	အနွယဉာဏ်ဟူသည်	anhayañāṇyahūsaññya	Inheritance	1
62	93	ဝိပဿနာဉာဏ်၏ နောက်သို့ အစဉ်လိုက်သော အနွယဉာဏ်	vipassanāñāṇya၏ nokyasiု’ acañyaliုkyaso anhayañāṇya	Inheritance that always follows Vipassana	0
63	93	လောကီစတုသစ္စသမ္မာဒိဋ္ဌိ	lokīcatusaccasammādiṭṭhi	The world is the fourth truth	1
64	94	ရှေးမထေရ်မြတ်ကြီးတို့၏ ဆွေးနွေးပွဲ	raှေ”matheryamaြtyakaြီ”tiု’၏ chhe”nhe”phaဲ	Discussion of ancient saints	3
65	97	မဟာတဏှာသင်္ခယသုတ္တန် ကောက်နုတ်ချက်	mahātaṇaှာsaṅkhayasuttanya kokyanutyakhaျkya	Excerpt from Mahatana Sankhaya Sutta	1
66	98	အမေး နှင့် အဖြေများ	ame” naှင’ya aphaြmeျာ”	Questions and Answers	2
67	100	သမ္ပတိ ဒိဋ္ဌ သင်္ခါရç သမ္ပတိ အဒိဋ္ဌ သင်္ခါရ	sampati diṭṭha saṅkhāraç sampati adiṭṭha saṅkhāra	Sampati Dittha Sankhara ç Sampati Adhita Sankhara	2
68	102	ပဋိစ္စသမုပ္ပါဒ် တရားတော် ဟူသည်	paṭiccasamuppādya tarā”toya hūsaññya	This is the Dhamma of Paktisthamupadha	1
69	103	ပဋိသမ္ဘိဒါမဂ္ဂပါဠိတော်၌ လာရှိသော တဒနွယတရားများ	paṭisambhidāmaggapāḷitoya၌ lāraှိso tadanhayatarā”maျာ”	The Dhamma and Discourses of the Buddha	1
70	104	အရိယမဂ်ဉာဏ်ဖိုလ်ဉာဏ်၏ နောက်သို့ အစဉ်လိုက်သော အနွယဉာဏ်	ariyamagyañāṇyaphiုlyañāṇya၏ nokyasiု’ acañyaliုkyaso anhayañāṇya	Noble wisdom that follows the Noble Eightfold Path	3
71	107	ဝိဘင်းပါဠိတော်မှ ကောက်နုတ်ချက်	vibhaငya”pāḷitoyamaှ kokyanutyakhaျkya	Excerpt from Wibin Pali	2
72	109	အပရိဇာနနသုတ္တန် ကောက်နုတ်ချက်	aparijānanasuttanya kokyanutyakhaျkya	Excerpt from the Aparizana Sutta	1
73	110	လောကီ ဉာတပရိညာ	lokī ñātapariññā	Worldly wisdom	1
74	111	လောကီ တီရဏပရိညာ	lokī tīraṇapariññā	Worldly wisdom	1
75	112	လောကီ ပဟာနပရိညာ	lokī pahānapariññā	Worldly wisdom	0
76	112	လောကုတ္တရာ ပရိညာ သုံးပါး	lokuttarā pariññā suṃ”pā”	The Three Noble Truths	2
77	114	အလောင်းတော်သည် ကုဋေသုံးသန်းခြောက်သိန်းသော မဟာ၀ဇိရဝိပဿနာတရား ပွားတော်မူခြင်း	aloငya”toyasaññya kuṭesuṃ”sanya”khaြောkyasinya”so mahā0jiravipassanātarā” phā”toyamūkhaြငya”	His body was the site of three billion and six hundred thousand Mahavajira Vipassana meditations	2
78	116	ဗောဓိကထာ ကောက်နုတ်ချက်	bodhikathā kokyanutyakhaျkya	Excerpt from Bodhisattva	3
79	119	ဂေါတမကစေတိယသုတ္တန် ကောက်နုတ်ချက်	gotamakacetiyasuttanya kokyanutyakhaျkya	Excerpt from Gautama Pagoda Sutta	2
80	121	ဒုတိယအရိယသာ၀ကသုတ္တန်	dutiyaariyasā0kasuttanya	The Second Noble Eightfold Path	4
81	125	ကောသမ္ဗိသုတ္တန် ကောက်နုတ်ချက်	kosambisuttanya kokyanutyakhaျkya	Excerpt from Kosambi Sutta	3
82	128	စဉ်းစားနှိုင်းချိန်တော်မူပါ	cañya”cā”naှိုငya”khaျိnyatoyamūpā	Think about it	3
83	131	အမြတ်ဆုံးစကားတော်	amaြtyachuṃ”cakā”toya	The most precious word	1
84	132	ဘဒ္ဒေကရတ္တသုတ္တန် - ရှင်းလင်းချက်	bhaddekarattasuttanya - raှငya”laငya”khaျkya	Bhaddekaratta Sutta - Explanation	1
85	133	ဘဒ္ဒေကရတ္တသုတ္တန်	bhaddekarattasuttanya	Bhaddekaratta Sutta	2
86	135	အတိတ်ကိုလိုက်ပုံ	atityakiုliုkyapuṃ	How to follow the past	1
87	136	အတိတ်ကိုမလိုက်ပုံ	atityakiုmaliုkyapuṃ	How not to follow the past	1
88	137	အနာဂတ်ကို မျှော်ပုံ	anāgatyakiု maျှောyapuṃ	How to look to the future	1
89	138	အနာဂတ်ကို မမျှော်ပုံ	anāgatyakiု mamaျှောyapuṃ	How not to look to the future	1
90	139	ဟောတော်မူလိုရင်း	hotoyamūliုraငya”	What he wants to say	1
91	140	ပစ္စုပ္ပန်၌ တဏှာ-ဒိဋ္ဌိ တို့က ဆွဲငင်ပုံ	paccuppanya၌ taṇaှာ-diṭṭhi tiု’ka chhaဲငငyapuṃ	How lust-contemplation pulls in the present	1
92	141	ပစ္စုပ္ပန်၌ တဏှာ-ဒိဋ္ဌိတို့က မဆွဲငင်ပုံ	paccuppanya၌ taṇaှာ-diṭṭhitiု’ka machhaဲငငyapuṃ	How lust-contemplation does not attract in the present	1
93	142	ဤဒေသနာတော်၏ ဆိုလိုရင်း	īdesanātoya၏ chiုliုraငya”	The meaning of this sermon	1
94	143	ရရှိလာသည့် ဥပဒေသ	raraှိlāsañña’ya upadesa	Obtained Rule	1
95	144	ပဋိသမ္ဘိဒါမဂ္ဂပါဠိတော် ကောက်နုတ်ချက်	paṭisambhidāmaggapāḷitoya kokyanutyakhaျkya	Excerpt from the Pali Canon	2
96	146	လောကိယဘာ၀နာ၏ စွမ်းအား	lokiyabhā0nā၏ chamya”ā”	The power of worldly meditation	2
97	148	ကာလတ္တယအနိစ္စ (ဒုက္ခ - အနတ္တ) သုတ္တန်	kālattayaanicca (dukkha - anatta) suttanya	Kalattaya Anissa (Dukkha-Anatta) Sutta	1
98	149	ဘဒ္ဒေကရတ္တသုတ္တန်၌ ဆိုလိုသော ပစ္စုပ္ပန်	bhaddekarattasuttanya၌ chiုliုso paccuppanya	Present meaning in Bhaddekaratta Sutta	2
99	151	အတိတ် အနာဂတ် ပစ္စုပ္ပန် သတ်မှတ်ပုံ	atitya anāgatya paccuppanya satyamaှtyapuṃ	How to determine the past, future, and present	0
100	151	ပါဠိတော်ဘာသာပြန်	pāḷitoyabhāsāpaြnya	Pali translation	1
101	152	သုတ္တန္တပရိယာယနည်း	suttantapariyāyanaññya”	What is the method of proverb?	0
102	152	အဘိဓမ္မနိဒ္ဒေသနည်း	abhidhammaniddesanaññya”	What is Abhidhamma?	1
103	153	သိသင့်သောအချက် တစ်ရပ်	sisaင’yasoakhaျkya tacyarapya	One thing to know	1
104	154	နောက်တစ်နည်းဖွင့်ဆိုပုံ	nokyatacyanaññya”phhaင’yachiုpuṃ	Another definition	0
105	154	အဒ္ဓါ (= ဘ၀) ဟူသော အဓွန့်	addhā (= bha0) hūso adhhana’ya	Adha (= life)	2
106	156	သဘာဂဥတု-အာဟာရ ဧကဥတု-အာဟာရ	sabhāgautu-āhāra ekautu-āhāra	Natural climate - nutrition Acne climate - nutrition	2
107	158	စိတ္တသမုဋ္ဌာန်ရုပ်၏ သန္တတိ	cittasamuṭṭhānyarupya၏ santati	The instinct of mental form	0
108	158	ကမ္မသမုဋ္ဌာန်ရုပ်၏ သန္တတိ	kammasamuṭṭhānyarupya၏ santati	Shantati of the form of Kamma Samutthana	1
109	159	သမယ၏ အစွမ်းဖြင့် အတိတ်-အနာဂတ်ပစ္စုပ္ပန်ရုပ် ယူဆပုံ	samaya၏ achamya”phaြင’ya atitya-anāgatyapaccuppanyarupya yūchapuṃ	Past-Future-Present Perception by the Power of Cooperative	1
110	160	ခဏအားဖြင့် အတိတ်-အနာဂတ်-ပစ္စုပ္ပန် ခွဲပုံ	khaṇaā”phaြင’ya atitya-anāgatya-paccuppanya khhaဲpuṃ	A moment of past-future-present division	0
111	160	တစ်နည်းဖွင့်ဆိုပုံ	tacyanaññya”phhaင’yachiုpuṃ	One way to define it	1
112	161	မုချနှင့် ပရိယာယ်	mukhaျnaှင’ya pariyāyya	Definitely a trick	0
113	161	နာမ်ပိုင်း၌ အတိတ်-အနာဂတ်-ပစ္စုပ္ပန် ခွဲပုံ	nāmyapiုငya”၌ atitya-anāgatya-paccuppanya khhaဲpuṃ	Past-future-present division in nouns	1
114	162	ဘူတံ ဘူတတော ပဿတိ	bhūtaṃ bhūtato passati	Bhutan Bhutaw Forest History	2
115	164	မဟာတဏှာသင်္ခယသုတ္တန် ကောက်နုတ်ချက်	mahātaṇaှာsaṅkhayasuttanya kokyanutyakhaျkya	Excerpt from Mahatana Sankhaya Sutta	4
116	168	သာသနာ့မဏ္ဍိုင်ကြီးများ	sāsanā’maṇḍiုငyakaြီ”maျာ”	Religious pillars	0
117	168	၁။ သုတ္တ	1． sutta	1. Sutta	1
118	169	ဘုရားကို ပယ်နေသူ	bhurā”kiု payyanesū	One who rejects God	1
119	170	ဘုရားရှင်တို့၏ စကားတော်ဟူသည်	bhurā”raှငyatiု’၏ cakā”toyahūsaññya	It is the word of God	2
120	172	၂။ သုတ္တာနုလောမ	2． suttānuloma	2. I'm not sure what to do	0
121	172	ဝိနည်းမဟာပဒေသတရား လေးပါး	vinaññya”mahāpadesatarā” le”pā”	The Four Noble Truths	2
122	174	သုတ္တန်မဟာပဒေသတရား လေးပါး	suttanyamahāpadesatarā” le”pā”	The Four Noble Truths	0
123	174	ပထမ - မဟာပဒေသတရား	pathama - mahāpadesatarā”	First, the Great Precepts	1
124	175	ဒုတိယ မဟာပဒေသတရား	dutiya mahāpadesatarā”	The Second Great Precept	0
125	175	တတိယ မဟာပဒေသတရား	tatiya mahāpadesatarā”	The Third Great Precept	1
126	176	စတုတ္ထ မဟာပဒေသတရား	catuttha mahāpadesatarā”	The Fourth Precept	1
127	177	အနုလောမကပ္ပိယ = သုတ္တာနုလောမ	anulomakappiya = suttānuloma	Anulomakapiya = Suttanuloma	0
128	177	၃။ အာစရိယဝါဒ	3． ācariyavāda	3. Assyrianism	2
129	179	၄။ အတ္တနောမတိ	4． attanomati	4. Selfishness	0
130	179	သာသနာကို ဖျက်ဆီးနေသူ	sāsanākiု phaျkyachī”nesū	Destroyer of religion	1
131	180	သမ္မာသမ္ဗုဒ္ဓ ဘာသိတ တရားတော်	sammāsambuddha bhāsita tarā”toya	The Dhamma of the True Buddha	0
132	180	ဓမ္မ - အဓမ္မ	dhamma - adhamma	Dhamma - Forced	1
133	181	ဆန်းစစ်ပါ	chanya”cacyapā	Check	4
134	185	ဘိက္ခုသုတ္တန်	bhikkhusuttanya	Bhikkhu Sutta	1
135	186	သမာဓိထူထောင်သင့်ပုံပိုင်း	samādhithūthoငyasaင’yapuṃpiုငya”	How to Build Integrity	
136	186	သမာဓိကို ထူထောင်ပါ	samādhikiု thūthoငyapā	Establish Integrity	1
137	187	သမာဓိသုတ္တန်များ	samādhisuttanyamaျာ”	Integrity Suttas	2
138	189	မဟာဂေါပါလကသုတ္တန် - အဆိုတစ်ရပ်	mahāgopālakasuttanya - achiုtacyarapya	The Mahagopala Sutta - A Proclamation	2
139	191	စိတ္တဝိသုဒ္ဓိမှ ဒိဋ္ဌိဝိသုဒ္ဓိသို့	cittavisuddhimaှ diṭṭhivisuddhisiု’	From Sittavisuddhi to Ditti Visuddhi	1
140	192	ခဏိကသမာဓိ	khaṇikasamādhi	Momentary integrity	0
141	192	မဟာဋီကာဆရာတော်၏ အဆို	mahāṭīkācharātoya၏ achiု	According to the Mahatika Sayadaw	2
142	194	သမထယာနိကလမ်း	samathayānikalamya”	Samathayanika Road	1
143	195	သုဒ္ဓဝိပဿနာယာနိကလမ်း	suddhavipassanāyānikalamya”	The path of Sutta Vipassana Yanika	1
144	196	ယေဘုယျဟု မှတ်ပါ	yebhuyaျhu maှtyapā	Think of it as general	0
145	196	အကြောင်းပြချက်	akaြောငya”paြkhaျkya	the reason	2
146	198	အထူးသတိပြု၍ မှတ်သားရန်	athū”satipaြု၍ maှtyasā”ranya	Take special note	1
147	199	သမထပိုင်း - ခဏိကသမာဓိ	samathapiုငya” - khaṇikasamādhi	Co-existence: Momentary Integrity	2
148	201	ဝိပဿနာပိုင်း - ခဏိကသမာဓိ	vipassanāpiုငya” - khaṇikasamādhi	Vipassana - momentary concentration	2
149	203	ခဏိကစိတ္တေကဂ္ဂတာ-သမာဓိ	khaṇikacittekaggatā-samādhi	Moment of mindfulness - Samadhi	3
150	206	လိုရင်းအချုပ် မှတ်သားရန်	liုraငya”akhaျုpya maှtyasā”ranya	Note:	1
151	207	လက္ခဏာရေး သုံးတန်	lakkhaṇāre” suṃ”tanya	Three tokens	2
152	209	အနတ္တရောင်ခြည်တော်	anattaroငyakhaြññyatoya	Vanity of vanities	3
153	212	အကြောင်းပြချက်	akaြောငya”paြkhaျkya	the reason	1
154	213	ရုပ်ဃန = ရုပ်တုံးရုပ်ခဲ သုံးမျိုး	rupyaghana = rupyatuṃ”rupyakhaဲ suṃ”maျို”	Material = three types of statues	1
155	214	၁။ သန္တတိဃန = ရုပ်အစဉ်အတန်းအတုံးအခဲ	1． santatighana = rupyaacañyaatanya”atuṃ”akhaဲ	1. Santati Gana = a series of physical blocks	2
156	216	၂။ သမူဟဃန = ရုပ်အပေါင်းအစုအတုံးအခဲ	2． samūhaghana = rupyaapoငya”acuatuṃ”akhaဲ	2. Consciousness = a mass of matter	1
157	217	၃။ ကိစ္စဃန = ရုပ်လုပ်ငန်းကိစ္စအတုံးအခဲ	3． kiccaghana = rupyalupyaငnya”kiccaatuṃ”akhaဲ	3. Issue = material matter	0
158	217	လိုက်နာရမည့်တာဝန်	liုkyanāramañña’yatāvanya	Duties to be followed	0
159	217	နာမ်ဃန (၄) မျိုး	nāmyaghana (4) maျို”	There are four types of nouns	1
160	218	၁။ သန္တတိဃန = နာမ်အစဉ်အတန်းအတုံးအခဲ	1． santatighana = nāmyaacañyaatanya”atuṃ”akhaဲ	1. Santati Gana = noun sequence block	0
161	218	၂။ သမူဟဃန = နာမ်အပေါင်းအစုအတုံးအခဲ	2． samūhaghana = nāmyaapoငya”acuatuṃ”akhaဲ	2. Consciousness = a collection of nouns	1
162	219	၃။ ကိစ္စဃန = နာမ်လုပ်ငန်းကိစ္စအတုံးအခဲ	3． kiccaghana = nāmyalupyaငnya”kiccaatuṃ”akhaဲ	3. Case = noun business case block	1
163	220	၄။ အာရမ္မဏဃန = အာရုံယူမှုအတုံးအခဲ	4． ārammaṇaghana = āruṃyūmaှုatuṃ”akhaဲ	4. Aramaic = a block of attention	3
164	223	သမ္မသနစာရခေတ် သုံးမျိုး	sammasanacārakhetya suṃ”maျို”	Three types of presidential eras	1
165	224	ဧကဒေသ = တစ်စိတ်တစ်ဒေသ	ekadesa = tacyacityatacyadesa	Acre area = part area	2
166	226	ပရိညာနယ် ကွာဟချက်ရှိပုံ	pariññānayya khāhakhaျkyaraှိpuṃ	What is the difference between the two?	1
167	227	ဋီကာ အဖွင့်များ	ṭīkā aphhaင’yamaျာ”	Opening remarks	3
168	230	တစ်စိတ်တစ်ဒေသ = တစ်ချို့တစ်ဝက် ယူဆပုံ	tacyacityatacyadesa = tacyakhaျို’tacyavakya yūchapuṃ	Partial = partial assumption	2
169	232	တစ်စိတ်သားခန့်	tacyacityasā”khana’ya	About a piece of meat	0
170	232	နာမ်လောက	nāmyaloka	Noun world	1
171	233	ထပ်မံစဉ်းစားရန် အချက်တစ်ရပ်	thapyamaṃcañya”cā”ranya akhaျkyatacyarapya	One more thing to think about	1
172	234	မဂ္ဂင်ရှစ်ပါး ပြည့်ပါရဲ့လား	maggaငyaraှcyapā” paြñña’yapāraဲ’lā”	Are you full of eight magazines?	2
173	236	သမာဓိသည် အနှစ်သာရလော¿	samādhisaññya anaှcyasāralo¿	Is Integrity Essential?	1
174	237	တိပရိဝဋ္ဋ ဓမ္မဒေသနာ	tiparivaṭṭa dhammadesanā	Tiparivatta Dhamma Sermon	2
175	239	သမာဓိသည် သာသနာတွင်းတရား မဟုတ်	samādhisaññya sāsanāthaငya”tarā” mahutya	Integrity is not a religion	1
176	240	အာနာပါနဿတိသမာဓိပိုင်း	ānāpānassatisamādhipiုငya”	Anapanasati concentration	
177	240	ကာယာနုပဿနာ အာနာပါနပဗ္ဗ ပါဠိတော်	kāyānupassanā ānāpānapabba pāḷitoya	Kayanu Pathana Anapana Pabba Pali	1
178	241	ကာယာနုပဿနာ အာနာပါနပဗ္ဗ ပါဠိတော်အနက်	kāyānupassanā ānāpānapabba pāḷitoyaanakya	From the meaning of Kayanu Pathana Anapana Pabba Pali	3
179	244	အာနာပါနကမ္မဋ္ဌာန်း	ānāpānakammaṭṭhānya”	Anapana Kamma Dhan	1
180	245	အာနာပါနချီးမွမ်းခန်း	ānāpānakhaျီ”mhamya”khanya”	Anapana Praise Room	1
181	246	အသေစနက - သုခဝိဟာရ	asecanaka - sukhavihāra	Death - A happy abode	1
182	247	အာနာပါန-ပြည်တည်ခန်း	ānāpāna-paြññyataññyakhanya”	Anapana - Exodus	2
183	249	တစ်နည်းဆိုရသော်	tacyanaññya”chiုrasoya	In other words	1
184	250	အမြတ်ဆုံး ပူဇော်မှု	amaြtyachuṃ” pūjoyamaှု	The most valuable offering	2
185	252	ဆိုလိုရင်းနှင့် အကြောင်းပြချက်	chiုliုraငya”naှင’ya akaြောငya”paြkhaျkya	Meaning and Reason	1
186	253	တောမင်းသစ်နှင့် တူသူ	tomaငya”sacyanaှင’ya tūsū	Like the new king of the forest	1
187	254	အရည - ရုက္ခမူလ - သုညာဂါရ	arañña - rukkhamūla - suññāgāra	Liquid - Vegetation Origin: Thunagara	1
188	255	ဣရိယာပုထ် ရွေးချယ်မှု	iriyāputhya rhe”khaျyyamaှု	Selection of adjectives	1
190	256	သော သတော၀ အဿသတိ၊ သတော၀ ပဿသတိ	so sato0 assasati， sato0 passasati	I'm not sure what to do. I'm not sure what to do	0
191	256	ပထမ စတုက္က	pathama catukka	The first stock	1
192	257	ဒုတိယ စတုက္က	dutiya catukka	The second stock	1
193	258	တတိယ စတုက္က	tatiya catukka	Third Stake	1
194	259	စတုတ္ထ စတုက္က	catuttha catukka	The fourth stump	1
195	260	အထူးသတိပြုရမည့် အချက်များ	athū”satipaြုramañña’ya akhaျkyamaျာ”	Things to watch out for	0
